,song_id,artist_id,artist_name,song_name,audio_features
10,6pqZ2QX4bTo0N9Lvv2v2Ja,0xRXCcSX89eobfrshSVdyu,MEDUZA,Tell It To My Heart (feat. Hozier),"{'danceability': 0.539, 'energy': 0.715, 'key': 11, 'loudness': -6.639, 'mode': 0, 'speechiness': 0.0595, 'acousticness': 0.0265, 'instrumentalness': 0, 'liveness': 0.609, 'valence': 0.489, 'tempo': 123.854, 'type': 'audio_features', 'id': '6pqZ2QX4bTo0N9Lvv2v2Ja', 'uri': 'spotify:track:6pqZ2QX4bTo0N9Lvv2v2Ja', 'track_href': 'https://api.spotify.com/v1/tracks/6pqZ2QX4bTo0N9Lvv2v2Ja', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6pqZ2QX4bTo0N9Lvv2v2Ja', 'duration_ms': 165524, 'time_signature': 4}"
11,46nvQpUDsxpS08UTFOeKTA,0xRXCcSX89eobfrshSVdyu,MEDUZA,Tell It To My Heart,"{'danceability': 0.539, 'energy': 0.715, 'key': 11, 'loudness': -6.639, 'mode': 0, 'speechiness': 0.0595, 'acousticness': 0.0265, 'instrumentalness': 0, 'liveness': 0.609, 'valence': 0.489, 'tempo': 123.854, 'type': 'audio_features', 'id': '46nvQpUDsxpS08UTFOeKTA', 'uri': 'spotify:track:46nvQpUDsxpS08UTFOeKTA', 'track_href': 'https://api.spotify.com/v1/tracks/46nvQpUDsxpS08UTFOeKTA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/46nvQpUDsxpS08UTFOeKTA', 'duration_ms': 165524, 'time_signature': 4}"
12,0WxxSbsSHMoUK1uvWuMEbT,2FXC3k01G6Gw61bmprjgqS,Hozier,The Parting Glass - Live from the Late Late Show,"{'danceability': 0.266, 'energy': 0.0956, 'key': 6, 'loudness': -10.047, 'mode': 1, 'speechiness': 0.0439, 'acousticness': 0.96, 'instrumentalness': 0, 'liveness': 0.34, 'valence': 0.472, 'tempo': 203.285, 'type': 'audio_features', 'id': '0WxxSbsSHMoUK1uvWuMEbT', 'uri': 'spotify:track:0WxxSbsSHMoUK1uvWuMEbT', 'track_href': 'https://api.spotify.com/v1/tracks/0WxxSbsSHMoUK1uvWuMEbT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0WxxSbsSHMoUK1uvWuMEbT', 'duration_ms': 135133, 'time_signature': 1}"
13,7asIyOrxn2UOfEFe9LXl6C,2FXC3k01G6Gw61bmprjgqS,Hozier,Jackboot Jump - Live,"{'danceability': 0.405, 'energy': 0.958, 'key': 4, 'loudness': -4.235, 'mode': 0, 'speechiness': 0.107, 'acousticness': 0.0328, 'instrumentalness': 6.67e-05, 'liveness': 0.824, 'valence': 0.632, 'tempo': 104.386, 'type': 'audio_features', 'id': '7asIyOrxn2UOfEFe9LXl6C', 'uri': 'spotify:track:7asIyOrxn2UOfEFe9LXl6C', 'track_href': 'https://api.spotify.com/v1/tracks/7asIyOrxn2UOfEFe9LXl6C', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7asIyOrxn2UOfEFe9LXl6C', 'duration_ms': 201627, 'time_signature': 4}"
14,1aOYWQ93wuD51QArtupMa5,2FXC3k01G6Gw61bmprjgqS,Hozier,Jackboot Jump - Live,"{'danceability': 0.38, 'energy': 0.958, 'key': 2, 'loudness': -4.283, 'mode': 1, 'speechiness': 0.107, 'acousticness': 0.0275, 'instrumentalness': 0.000122, 'liveness': 0.848, 'valence': 0.663, 'tempo': 104.468, 'type': 'audio_features', 'id': '1aOYWQ93wuD51QArtupMa5', 'uri': 'spotify:track:1aOYWQ93wuD51QArtupMa5', 'track_href': 'https://api.spotify.com/v1/tracks/1aOYWQ93wuD51QArtupMa5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1aOYWQ93wuD51QArtupMa5', 'duration_ms': 202369, 'time_signature': 4}"
15,1yTTMcUhL7rtz08Dsgb7Qb,6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,The Bones - with Hozier,"{'danceability': 0.561, 'energy': 0.597, 'key': 11, 'loudness': -6.0, 'mode': 0, 'speechiness': 0.0405, 'acousticness': 0.286, 'instrumentalness': 0, 'liveness': 0.0979, 'valence': 0.355, 'tempo': 76.826, 'type': 'audio_features', 'id': '1yTTMcUhL7rtz08Dsgb7Qb', 'uri': 'spotify:track:1yTTMcUhL7rtz08Dsgb7Qb', 'track_href': 'https://api.spotify.com/v1/tracks/1yTTMcUhL7rtz08Dsgb7Qb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1yTTMcUhL7rtz08Dsgb7Qb', 'duration_ms': 197299, 'time_signature': 4}"
16,7jGOckZDKJGHU4AyeOGbZo,2FXC3k01G6Gw61bmprjgqS,Hozier,Movement - Maya Jane Coles Remix,"{'danceability': 0.833, 'energy': 0.56, 'key': 6, 'loudness': -8.161, 'mode': 0, 'speechiness': 0.0375, 'acousticness': 0.314, 'instrumentalness': 0.436, 'liveness': 0.0947, 'valence': 0.735, 'tempo': 126.005, 'type': 'audio_features', 'id': '7jGOckZDKJGHU4AyeOGbZo', 'uri': 'spotify:track:7jGOckZDKJGHU4AyeOGbZo', 'track_href': 'https://api.spotify.com/v1/tracks/7jGOckZDKJGHU4AyeOGbZo', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7jGOckZDKJGHU4AyeOGbZo', 'duration_ms': 277637, 'time_signature': 4}"
17,5MJjkC3m1nAJV3BdJqL1IZ,2FXC3k01G6Gw61bmprjgqS,Hozier,Movement - Maya Jane Coles Remix,"{'danceability': 0.833, 'energy': 0.56, 'key': 6, 'loudness': -8.161, 'mode': 0, 'speechiness': 0.0375, 'acousticness': 0.314, 'instrumentalness': 0.436, 'liveness': 0.0947, 'valence': 0.735, 'tempo': 126.005, 'type': 'audio_features', 'id': '5MJjkC3m1nAJV3BdJqL1IZ', 'uri': 'spotify:track:5MJjkC3m1nAJV3BdJqL1IZ', 'track_href': 'https://api.spotify.com/v1/tracks/5MJjkC3m1nAJV3BdJqL1IZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5MJjkC3m1nAJV3BdJqL1IZ', 'duration_ms': 277640, 'time_signature': 4}"
18,3RkQZnUguGMkSdSrIwVC0K,2FXC3k01G6Gw61bmprjgqS,Hozier,Movement - Recorded At Spotify Studios NYC,"{'danceability': 0.457, 'energy': 0.4, 'key': 11, 'loudness': -8.617, 'mode': 0, 'speechiness': 0.0352, 'acousticness': 0.0817, 'instrumentalness': 0.000147, 'liveness': 0.0952, 'valence': 0.269, 'tempo': 69.895, 'type': 'audio_features', 'id': '3RkQZnUguGMkSdSrIwVC0K', 'uri': 'spotify:track:3RkQZnUguGMkSdSrIwVC0K', 'track_href': 'https://api.spotify.com/v1/tracks/3RkQZnUguGMkSdSrIwVC0K', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3RkQZnUguGMkSdSrIwVC0K', 'duration_ms': 252375, 'time_signature': 4}"
19,5EaHXf4tvFDKr3W2dDTlaO,2FXC3k01G6Gw61bmprjgqS,Hozier,Movement - Recorded at Spotify Studios NYC,"{'danceability': 0.457, 'energy': 0.4, 'key': 11, 'loudness': -8.617, 'mode': 0, 'speechiness': 0.0352, 'acousticness': 0.0817, 'instrumentalness': 0.000147, 'liveness': 0.0963, 'valence': 0.269, 'tempo': 69.895, 'type': 'audio_features', 'id': '5EaHXf4tvFDKr3W2dDTlaO', 'uri': 'spotify:track:5EaHXf4tvFDKr3W2dDTlaO', 'track_href': 'https://api.spotify.com/v1/tracks/5EaHXf4tvFDKr3W2dDTlaO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5EaHXf4tvFDKr3W2dDTlaO', 'duration_ms': 252240, 'time_signature': 4}"
20,20sZga1maIj1owc3EgjYk9,2FXC3k01G6Gw61bmprjgqS,Hozier,Shrike - Live At Windmill Lane Studios,"{'danceability': 0.295, 'energy': 0.369, 'key': 0, 'loudness': -9.888, 'mode': 1, 'speechiness': 0.0278, 'acousticness': 0.359, 'instrumentalness': 0.0698, 'liveness': 0.324, 'valence': 0.0847, 'tempo': 149.023, 'type': 'audio_features', 'id': '20sZga1maIj1owc3EgjYk9', 'uri': 'spotify:track:20sZga1maIj1owc3EgjYk9', 'track_href': 'https://api.spotify.com/v1/tracks/20sZga1maIj1owc3EgjYk9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/20sZga1maIj1owc3EgjYk9', 'duration_ms': 312471, 'time_signature': 3}"
